Trial,Speed Reached,Time to 30,Time to 60,Time to 100,Time to Completion
524, 110.987, 4.928531, 10.51769, 21.98499, 26.87517
525, 118.7437, 3.638761, 6.938791, 14.67521, 23.26331
526, 80.80247, 7.321689, 18.86053, , 34.61217
527, 82.8675, 5.044047, 12.5152, , 30.75598
528, 95.20268, 5.057798, 8.962761, , 27.31854
529, 94.34513, 5.60575, 13.51851, , 30.2641
530, 105.159, 7.943615, 14.17894, 27.91902, 30.68285
531, 61.23445, 6.605805, 31.94949, , 38.35137
532, 100.0742, 3.869238, 8.553387, 17.34219, 25.29553
533, 100.0225, 4.351999, 8.805914, 23.91238, 26.24593
534, 100.0838, 3.508406, 7.727511, 15.54303, 24.54704
535, 74.14188, 5.566494, 15.62227, , 33.37879
536, 87.46385, 3.822742, 10.19118, , 28.53169
537, 95.85145, 5.575053, 13.31637, , 29.96752
538, 126.321, 3.501686, 7.738106, 15.55837, 23.45748
539, 78.32011, 4.643673, 10.99649, , 30.57203
540, 53.78074, 7.450745, , , 41.5841
541, 94.34513, 5.624365, 13.54912, , 30.29056
542, 142.9278, 3.857902, 7.210631, 12.8795, 21.94712
543, 99.30401, 4.119779, 8.971316, , 26.6129
544, 132.2463, 3.769537, 7.60452, 14.47329, 22.97936
545, 134.1461, 2.585963, 5.220191, 10.57335, 20.46353
546, 56.75545, 7.37289, , , 40.79039
547, 150.0718, 2.435351, 5.066628, 9.623686, 19.37511
548, 100.0686, 4.012073, 8.94878, 18.36925, 25.62468
549, 150.0869, 3.245471, 6.298364, 11.40277, 20.70691
550, 103.3489, 5.819645, 12.31878, 26.97613, 28.87977
551, 101.9401, 2.636425, 6.536653, 20.75709, 24.05714
552, 87.41944, 5.514166, 11.87036, , 30.11023
553, 60.05754, 7.432272, 39.12914, , 39.56266
554, 96.31044, 3.935985, 9.121277, , 26.96495
555, 60.06346, 6.703459, 38.38317, , 38.89941
556, 60.06634, 5.349052, 35.4618, , 36.93148
557, 57.27071, 5.014533, , , 37.74231
558, 100.0686, 4.43592, 9.372551, 18.81074, 26.07759
559, 56.74335, 5.636079, , , 38.61723
560, 100.0445, 4.719197, 10.80725, 23.82942, 27.45877
561, 100.1428, 3.249701, 6.317543, 11.40186, 23.2753
562, 111.0214, 6.374228, 11.92529, 23.40963, 28.31409
563, 102.3259, 4.945092, 9.381715, 24.49032, 26.85487
564, 100.142, 2.440315, 5.077312, 9.629069, 22.14923
565, 84.8101, 6.531772, 13.468, , 31.7568
566, 107.4215, 2.988838, 7.20905, 18.99661, 24.33256
567, 93.10325, 5.216774, 10.66828, , 28.72544
568, 119.8667, 3.943593, 8.726212, 17.84666, 24.73529
569, 70.36367, 8.020657, 20.17718, , 36.88708
570, 109.3882, 3.456583, 7.419687, 18.20814, 24.38099
571, 109.4199, 2.885619, 6.871326, 17.65767, 23.86296
572, 96.33501, 5.058338, 10.27771, , 28.11923
573, 74.13763, 7.222431, 17.27405, , 34.99928
574, 88.71699, 2.867673, 7.167744, , 26.24528
575, 169.8263, 4.076897, 6.5283, 10.43207, 20.01542
576, 56.74918, 9.756044, , , 43.02135
577, 74.35439, 3.407107, 10.56239, , 30.28747
578, 123.1907, 4.443377, 7.578308, 14.46223, 23.55096
579, 118.7608, 2.903953, 6.188638, 13.93996, 22.52912
580, 107.3775, 3.664632, 7.86449, 19.63712, 24.93717
581, 160.0301, 2.761671, 5.397787, 9.728351, 19.31708
582, 71.67983, 4.577887, 12.79832, , 32.19093
583, 74.15018, 4.944495, 15.0331, , 32.77221
584, 134.1861, 2.466677, 5.45583, 10.59283, 20.52797
585, 33.39532, 15.26155, , , 60.46305
586, 67.2674, 5.752377, 20.25596, , 35.56443
587, 67.25255, 6.729778, 21.18234, , 36.42383
588, 100.0813, 4.428206, 7.527092, 14.43165, 24.73633
589, 57.26544, 8.271508, , , 40.88446
590, 58.34542, 5.543783, , , 37.80886
591, 100.0686, 5.104238, 10.0548, 19.49076, 26.74786
592, 100.0372, 2.980521, 7.211872, 18.98403, 24.54225
593, 113.5299, 4.120558, 9.325903, 19.97779, 25.66648
594, 88.69884, 5.088351, 9.540664, , 28.53425
595, 80.27085, 5.486323, 11.38705, , 30.87966
596, 71.68829, 3.596363, 11.8173, , 31.32607
597, 88.71699, 2.905751, 7.209086, , 26.28167
598, 101.9785, 2.793541, 6.109966, 20.51338, 23.88663
599, 100.1325, 3.366055, 6.518075, 11.85671, 23.45863
600, 62.34026, 6.315615, 22.78757, , 36.99635

601, 33.39515, 17.65373, , , 62.41011
602, 61.23434, 7.3468, 32.70644, , 39.11043
603, 71.67983, 4.551597, 12.78725, , 32.17818
604, 60.05419, 9.075757, 40.73772, , 41.16954
605, 41.20482, 8.696425, , , 50.02874
606, 131.5582, 3.940806, 7.973063, 15.07647, 23.36503
607, 121.5525, 3.868359, 8.551883, 17.37183, 24.46009
608, 41.19793, 9.572479, , , 50.76834
609, 49.1614, 9.336643, , , 45.90114
610, 107.3708, 6.077045, 10.27651, 22.06711, 27.36661
611, 87.46385, 3.841153, 10.19314, , 28.53216
612, 150.2222, 3.334112, 5.117867, 7.833742, 18.17414
613, 61.23164, 9.071438, 34.40003, , 40.7835
614, 99.30401, 4.119764, 8.955964, , 26.59511
615, 69.49336, 4.41497, 13.63308, , 32.75729
616, 67.09045, 3.878743, 14.36719, , 32.95561
617, 150.1376, 2.384101, 4.750797, 8.598483, 18.47055
618, 109.41, 3.447402, 7.450869, 18.20407, 24.40694
619, 100.0408, 4.766795, 11.02215, 24.722, 27.65821
620, 105.3414, 4.775565, 10.99559, 24.73599, 27.60371
621, 67.087, 4.544113, 15.01656, , 33.57122
622, 113.5704, 4.107759, 9.324598, 19.99549, 25.70001
623, 33.24789, 16.58818, , , 61.1728
624, 90.52544, 6.133062, 14.90571, , 31.49141
625, 91.98312, 6.633677, 12.4384, , 30.46274
626, 33.24791, 16.49187, , , 61.17609
627, 41.19793, 9.566264, , , 50.76493
628, 56.75743, 7.369328, , , 40.81287
629, 80.63248, 4.920866, 12.9421, , 31.17994
630, 62.34312, 4.328031, 20.80126, , 35.05643
631, 51.79961, 5.789312, , , 41.10489
632, 100.0566, 4.119239, 9.355183, 19.99066, 26.09906
633, 126.9926, 4.260212, 7.280391, 13.66437, 23.0171
634, 49.15716, 11.43511, , , 47.86489
635, 119.6894, 7.237638, 11.98478, 21.11026, 27.92449
636, 38.66506, 12.44643, , , 55.11141
637, 100.1153, 5.364563, 8.896999, 14.98602, 25.76857
638, 100.0782, 4.41592, 8.915481, 17.30327, 25.67595
639, 56.75299, 8.242262, , , 41.5863
640, 47.84743, 9.693398, , , 46.84154
641, 100.098, 3.803107, 7.623393, 14.49136, 24.4955
642, 103.3489, 5.789052, 12.34003, 26.99602, 28.89584
643, 74.34421, 5.641055, 12.77953, , 32.44209
644, 100.1695, 2.501804, 5.068, 9.404519, 22.17776
645, 69.49247, 6.050004, 15.27055, , 34.36109
646, 77.54363, 3.801007, 10.12048, , 29.82984
647, 131.5977, 4.658212, 8.658923, 15.77876, 24.08255
648, 80.77021, 9.781621, 21.33789, , 37.06263
649, 46.35223, 9.758837, , , 47.79422
650, 48.75504, 6.510619, , , 43.34238
651, 100.0692, 2.91279, 6.217379, 13.93786, 23.45711
652, 100.0822, 2.451441, 4.867698, 10.97201, 22.27533
653, 88.71699, 2.907138, 7.211601, , 26.2831
654, 139.7519, 3.920563, 7.469076, 13.55339, 22.40996
655, 100.2163, 2.53726, 4.752058, 8.240889, 21.90923
656, 69.49432, 3.761672, 13.00112, , 32.12477
657, 60.06594, 6.658957, 36.73577, , 38.20288
658, 69.06174, 6.330463, 19.1991, , 35.52239
659, 132.1942, 4.901527, 8.716675, 15.60429, 24.08945
660, 100.0929, 2.352639, 5.359021, 11.73995, 22.59258
661, 120.1673, 2.450215, 4.881978, 10.96474, 21.03746
662, 49.15903, 10.12595, , , 46.65755
663, 100.1695, 2.750718, 5.402718, 9.703922, 22.47587
664, 41.19729, 11.50454, , , 52.65295
665, 148.7283, 3.49176, 6.680267, 11.97991, 21.20029
666, 71.68829, 3.617947, 11.8433, , 31.33201
667, 169.7215, 2.888684, 5.320884, 9.226612, 18.79406
668, 100.0969, 4.632409, 8.65274, 15.77328, 25.44106
669, 154.8164, 3.149063, 5.220934, 8.9363, 19.19233
670, 57.26606, 8.256623, , , 40.89979
671, 100.0322, 3.562772, 7.717151, 20.15173, 25.13412
672, 150.087, 2.685931, 5.753307, 10.83708, 20.17301
673, 53.78363, 5.384819, , , 39.66854
674, 100.1816, 4.273342, 6.789268, 10.8435, 23.84494
675, 69.06964, 5.508161, 18.36412, , 34.72022
676, 57.26595, 6.27205, , , 38.88426
677, 38.66501, 12.45487, , , 55.08825
678, 60.06515, 6.640611, 36.74798, , 38.184
679, 100.0692, 3.658559, 6.95968, 14.67777, 24.19691
680, 56.744, 6.260393, , , 39.24086
681, 146.743, 2.722315, 5.907176, 11.21242, 20.52628
682, 96.34853, 3.416194, 8.603131, , 26.50628
683, 49.15903, 10.13654, , , 46.6698
684, 82.8853, 4.27003, 11.73822, , 29.99662
685, 41.20482, 8.787992, , , 50.03239
686, 136.0633, 4.765158, 8.501311, 14.95548, 23.68942
687, 100.2163, 2.303221, 4.770765, 8.091326, 21.7948
688, 100.1074, 4.74439, 8.48044, 14.94884, 25.33757
689, 93.14587, 3.530692, 8.981414, , 27.08953
690, 123.1704, 3.18028, 6.279856, 13.18386, 22.27241
691, 41.19793, 9.575445, , , 50.77312
692, 62.34312, 4.333794, 20.79477, , 35.06195
693, 100.1826, 3.158372, 5.228827, 8.947316, 22.48316
694, 67.08833, 4.515426, 15.01, , 33.56422
695, 105.307, 4.751337, 11.00416, 24.71114, 27.57933
696, 96.32481, 3.934824, 9.13475, , 26.97604
697, 81.37883, 5.537031, 13.27232, , 31.47743
698, 80.26743, 5.494415, 11.3478, , 30.85569
699, 51.79802, 7.687185, , , 42.88243
700, 101.9401, 2.611983, 6.530908, 20.7666, 24.05039

701, 100.0523, 4.301785, 9.885193, 21.38925, 26.57712
702, 120.1808, 4.518042, 6.949735, 13.05502, 23.10942
703, 107.3775, 3.638058, 7.87295, 19.62833, 24.92891
704, 80.7653, 8.080691, 19.63699, , 35.37656
705, 100.0823, 4.5352, 6.93786, 13.02359, 24.37595
706, 93.1286, 4.06731, 9.51948, , 27.60783
707, 78.31835, 3.890206, 10.25871, , 29.78134
708, 111.0214, 6.358437, 11.95823, 23.39829, 28.2997
709, 93.11555, 5.224, 10.64383, , 28.73211
710, 67.08804, 5.533938, 16.01997, , 34.55938
711, 41.19743, 11.47798, , , 52.64088
712, 136.0269, 3.598574, 7.305391, 13.7878, 22.49105
713, 78.32134, 3.257534, 9.610299, , 29.18601
714, 126.2361, 5.613653, 9.849496, 17.68695, 25.5535
715, 105.2431, 5.583128, 11.85034, 25.57616, 28.37425
716, 53.78284, 6.175032, , , 40.43871
717, 80.7653, 8.109223, 19.62786, , 35.37183
718, 46.35293, 7.985134, , , 46.11592
719, 62.34312, 4.318086, 20.77264, , 35.0608
720, 123.1704, 3.170505, 6.269695, 13.15781, 22.26094
721, 51.79929, 5.806405, , , 41.06981
722, 48.75421, 7.225023, , , 44.00842
723, 33.24791, 16.5053, , , 61.19264
724, 71.68326, 5.769438, 13.96888, , 33.41011
725, 106.9293, 4.686695, 10.80163, 23.84173, 27.29498
726, 46.35223, 9.735538, , , 47.76694
727, 99.29659, 5.898205, 10.75063, , 28.35853
728, 134.2248, 2.454385, 5.453289, 10.60517, 20.52929
729, 100.1374, 3.470936, 6.686327, 11.95403, 23.59336
